ROW ID #,Material,country,tariff_value,Metal Tariff
5534,Aluminum,China tariffs and duties,0.631,0.0
5535,Aluminum,China tariffs and duties,0.631,0.0
5541,Aluminum,China tariffs and duties,0.631,0.0
5542,Aluminum,China tariffs and duties,0.631,0.0
5543,Aluminum,China tariffs and duties,0.631,0.0
5544,Aluminum,China tariffs and duties,0.631,0.0
5545,Aluminum,China tariffs and duties,0.631,0.0
5546,Aluminum,China tariffs and duties,0.631,0.0
6850,Aluminum,China tariffs and duties,0.47,0.0
7872,Aluminum,China tariffs and duties,0.45,0.0
7886,Aluminum,China tariffs and duties,0.407,0.5
7887,Aluminum,China tariffs and duties,0.407,0.5
8448,Aluminum,China tariffs and duties,0.407,0.5
8449,Aluminum,China tariffs and duties,0.407,0.5
8450,Aluminum,China tariffs and duties,0.407,0.5
8712,Aluminum,China tariffs and duties,0.407,0.5
9200,Aluminum,China tariffs and duties,0.47,0.0
9201,Aluminum,China tariffs and duties,0.47,0.0
9202,Aluminum,China tariffs and duties,0.47,0.0
9204,Aluminum,China tariffs and duties,0.47,0.0
9280,Aluminum,China tariffs and duties,0.407,0.5
9680,Aluminum,China tariffs and duties,0.49,0.0
9686,Aluminum,China tariffs and duties,0.49,0.0
10032,Aluminum,China tariffs and duties,0.49,0.0
11801,Aluminum,China tariffs and duties,0.407,0.5
11803,Aluminum,China tariffs and duties,0.47,0.0
11858,Aluminum,China tariffs and duties,0.407,0.5
11860,Aluminum,China tariffs and duties,0.407,0.5
11862,Aluminum,China tariffs and duties,0.407,0.5
11864,Aluminum,China tariffs and duties,0.407,0.5
11866,Aluminum,China tariffs and duties,0.407,0.5
11871,Aluminum,China tariffs and duties,0.407,0.5
11873,Aluminum,China tariffs and duties,0.407,0.5
11876,Aluminum,China tariffs and duties,0.407,0.5
11877,Aluminum,China tariffs and duties,0.407,0.5
11879,Aluminum,China tariffs and duties,0.407,0.5
11883,Aluminum,China tariffs and duties,0.407,0.5
11884,Aluminum,China tariffs and duties,0.407,0.5
11886,Aluminum,China tariffs and duties,0.407,0.5
11889,Aluminum,China tariffs and duties,0.407,0.5
11892,Aluminum,China tariffs and duties,0.407,0.5
11938,Aluminum,China tariffs and duties,0.407,0.5
11940,Aluminum,China tariffs and duties,0.407,0.5
11942,Aluminum,China tariffs and duties,0.407,0.5
11945,Aluminum,China tariffs and duties,0.407,0.5
11948,Aluminum,China tariffs and duties,0.407,0.5
11951,Aluminum,China tariffs and duties,0.407,0.5
11954,Aluminum,China tariffs and duties,0.407,0.5
11955,Aluminum,China tariffs and duties,0.407,0.5
11959,Aluminum,China tariffs and duties,0.407,0.5
11963,Aluminum,China tariffs and duties,0.407,0.5
11964,Aluminum,China tariffs and duties,0.407,0.5
11966,Aluminum,China tariffs and duties,0.407,0.5
11967,Aluminum,China tariffs and duties,0.407,0.5
11968,Aluminum,China tariffs and duties,0.407,0.5
11970,Aluminum,China tariffs and duties,0.407,0.5
11972,Aluminum,China tariffs and duties,0.407,0.5
11974,Aluminum,China tariffs and duties,0.407,0.5
11978,Aluminum,China tariffs and duties,0.407,0.5
11979,Aluminum,China tariffs and duties,0.407,0.5
11983,Aluminum,China tariffs and duties,0.407,0.5
11987,Aluminum,China tariffs and duties,0.407,0.5
11990,Aluminum,China tariffs and duties,0.407,0.5
11992,Aluminum,China tariffs and duties,0.407,0.5
11994,Aluminum,China tariffs and duties,0.407,0.5
11997,Aluminum,China tariffs and duties,0.407,0.5
12001,Aluminum,China tariffs and duties,0.407,0.5
12004,Aluminum,China tariffs and duties,0.407,0.5
12008,Aluminum,China tariffs and duties,0.407,0.5
12009,Aluminum,China tariffs and duties,0.407,0.5
12011,Aluminum,China tariffs and duties,0.407,0.5
12014,Aluminum,China tariffs and duties,0.407,0.5
12015,Aluminum,China tariffs and duties,0.407,0.5
12016,Aluminum,China tariffs and duties,0.407,0.5
12018,Aluminum,China tariffs and duties,0.407,0.5
12020,Aluminum,China tariffs and duties,0.407,0.5
12027,Aluminum,China tariffs and duties,0.407,0.5
12030,Aluminum,China tariffs and duties,0.407,0.5
12032,Aluminum,China tariffs and duties,0.407,0.5
12035,Aluminum,China tariffs and duties,0.407,0.5
12038,Aluminum,China tariffs and duties,0.407,0.5
12039,Aluminum,China tariffs and duties,0.407,0.5
12040,Aluminum,China tariffs and duties,0.407,0.5
12044,Aluminum,China tariffs and duties,0.407,0.5
12045,Aluminum,China tariffs and duties,0.407,0.5
12048,Aluminum,China tariffs and duties,0.407,0.5
12049,Aluminum,China tariffs and duties,0.407,0.5
12050,Aluminum,China tariffs and duties,0.407,0.5
12052,Aluminum,China tariffs and duties,0.407,0.5
12053,Aluminum,China tariffs and duties,0.407,0.5
12056,Aluminum,China tariffs and duties,0.407,0.5
12057,Aluminum,China tariffs and duties,0.407,0.5
12059,Aluminum,China tariffs and duties,0.407,0.5
12062,Aluminum,China tariffs and duties,0.407,0.5
12064,Aluminum,China tariffs and duties,0.407,0.5
12066,Aluminum,China tariffs and duties,0.407,0.5
12070,Aluminum,China tariffs and duties,0.407,0.5
12072,Aluminum,China tariffs and duties,0.407,0.5
12076,Aluminum,China tariffs and duties,0.407,0.5
12080,Aluminum,China tariffs and duties,0.407,0.5
12082,Aluminum,China tariffs and duties,0.407,0.5
12085,Aluminum,China tariffs and duties,0.407,0.5
12088,Aluminum,China tariffs and duties,0.407,0.5
12091,Aluminum,China tariffs and duties,0.407,0.5
12094,Aluminum,China tariffs and duties,0.407,0.5
12095,Aluminum,China tariffs and duties,0.407,0.5
12097,Aluminum,China tariffs and duties,0.407,0.5
12100,Aluminum,China tariffs and duties,0.407,0.5
12101,Aluminum,China tariffs and duties,0.407,0.5
12103,Aluminum,China tariffs and duties,0.407,0.5
12105,Aluminum,China tariffs and duties,0.407,0.5
12107,Aluminum,China tariffs and duties,0.407,0.5
12145,Aluminum,China tariffs and duties,0.407,0.5
12150,Aluminum,China tariffs and duties,0.407,0.5
12210,Aluminum,China tariffs and duties,0.407,0.5
12220,Aluminum,China tariffs and duties,0.407,0.5
12368,Aluminum,China tariffs and duties,0.407,0.5
12490,Aluminum,China tariffs and duties,0.407,0.5
12563,Aluminum,China tariffs and duties,0.407,0.5
12564,Aluminum,China tariffs and duties,0.407,0.5
12565,Aluminum,China tariffs and duties,0.407,0.5
12567,Aluminum,China tariffs and duties,0.407,0.5
12568,Aluminum,China tariffs and duties,0.407,0.5
